"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002808","APOS-INT-CAS-03","APOS-INT-CAS-03","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002783","APOS-EXT-CAS-03","APOS-EXT-CAS-03","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002841","BEUCLX-08","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00002806","APOS-INT-CAS-01","APOS-INT-CAS-01","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002807","APOS-INT-CAS-02","APOS-INT-CAS-02","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002839","BEUCLX-06","BEV System","","","","Server","0","0","0","0"
"K-00002837","BEUCLX-04","BEUCLX-TRAFO","Transformator Portal","Business Services","Business","Server","7","20","40960","1315"
"K-00002838","BEUCLX-05","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00002945","HPE-RDA-01","BEV System","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00002852","BEUCLX-V1-06","BEUCLX-V1-06","Entwicklungsumgebungen G1","Compute","Infrastructure","Server","4","26","81920","1264"
"K-00002845","BEUCLX-13","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00000271","RZV-LPX-01","BEV System","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00003056","RZ2-SMQ-01","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00003055","RZ2-SMQ-02","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00003127","RZ1-SMQ-01","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00003126","RZ1-SMQ-02","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002893","dokuwiki","BEV System","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00002835","BEUCLX-02","BEV System","","","","Server","0","0","0","0"
"K-00002836","BEUCLX-03","","","","","Server","0","0","0","0"
"K-00000241","RZV-OPSI-01","BEV System","SW-Verteilung","Client Computing","Workplace","Server","1","2","6144","2083"
"K-00000141","TMDSRELAY01","TMDSRELAY01","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00000140","TMDSRELAY02","TMDSRELAY02","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00002833","BEUCLX-01","Basisimage","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00002779","APOS-EXT-BRC-01","APOS-EXT-BRC-01","APOS: Broadcast","Business Services","Business","Server","2","4","12288","190"
"K-00002780","APOS-EXT-BRC-02","APOS-EXT-BRC-02","APOS: Broadcast","Business Services","Business","Server","2","4","12288","190"
"K-00002781","APOS-EXT-CAS-01","APOS-EXT-CAS-01","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002782","APOS-EXT-CAS-02","APOS-EXT-CAS-02","APOS: APOS Raw","Business Services","Business","Server","6","12","18432","549"
"K-00002803","APOS-EXT-TRF-01","APOS-EXT-TRF-01","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00002804","APOS-EXT-TRF-02","APOS-EXT-TRF-02","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00002805","APOS-EXT-TRF-03","APOS-EXT-TRF-03","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00002809","APOS-INT-CTL-01","APOS-INT-CTL-01","","","","Server","0","0","0","0"
"K-00002810","APOS-INT-CTL-03","APOS-INT-CTL-03","","","","Server","0","0","0","0"
"K-00002811","APOS-INT-DBS-03","APOS-INT-DBS-03","","","","Server","0","0","0","0"
"K-00002816","APOS-INT-RNX-01","APOS-INT-RNX-01","APOS: Postprocessing","Business Services","Business","Server","4","14","106496","592"
"K-00002817","APOS-INT-RNX-02","APOS-INT-RNX-02","APOS: Postprocessing","Business Services","Business","Server","4","14","106496","592"
"K-00002818","APOS-INT-RNX-03","APOS-INT-RNX-03","APOS: Postprocessing","Business Services","Business","Server","4","14","106496","592"
"K-00004959","APOS-INT-DBS-01","APOS-INT-DBS-01","","","","Server","0","0","0","0"
"K-00004964","APOS-PSQL-03","APOS-PSQL-03","","","","Server","0","0","0","0"
"K-00002857","BEUQUEUE-1","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002858","BEUQUEUE-2","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00002859","BEUQUEUE-3","BEV System","Open Message Queue","Compute","Infrastructure","Server","7","14","57344","925"
"K-00000015","ZDA-3","TSK-00097436 Gammer","Zentraler Datenabgleich","Supporting Services","Business","Server","3","5","16384","448"
"K-00000130","G-WIKI","G1 Wiki","Wissensmanagementservice G1-Wiki","Application","Platform","Server","1","1","4096","96"
"K-00003140","RZ1-KFS-01","BEV System","Kataster Führung","Business Services","Business","Server","8","17","78848","514"
"K-00003139","RZ1-KFS-02","BEV System","Kataster Führung","Business Services","Business","Server","8","17","78848","514"
"K-00000286","RZV-GTUSTP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00000285","RZV-GTUSTP-02","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00002751","RZV-BTUPTL-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00003050","RZ2-STP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00003070","RZ2-GTUGBS-01","BEV System","","","","Server","0","0","0","0"
"K-00003068","RZ2-GTUKFS-01","BEV System","Kataster Führung","Business Services","Business","Server","8","17","78848","514"
"K-00003120","RZ1-STP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00003095","RZ2-AWI-01","BEV System","Portalverbund extern","Supporting Services","Business","Server","4","8","65536","222"
"K-00003096","RZ2-AWP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00003145","RZ1-GBS-01","BEV System","","","","Server","0","0","0","0"
"K-00003144","RZ1-GBS-02","BEV System","","","","Server","0","0","0","0"
"K-00003143","RZ1-GTUGBS-01","BEV System","","","","Server","0","0","0","0"
"K-00003142","RZ1-GTUKFS-01","BEV System","Kataster Führung","Business Services","Business","Server","8","17","78848","514"
"K-00003164","RZ1-AWI-01","BEV System","Portalverbund extern","Supporting Services","Business","Server","4","8","65536","222"
"K-00003163","RZ1-AWP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00002966","PGSEU-01","BEV System","PostgreSQL DB Plattform","Data","Platform","Server","2","4","18432","326"
"K-00002763","RZV-BTULDP-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00002762","RZV-BTULDP-02","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00002951","METROLOGIE01","","","","","Server","0","0","0","0"
"K-00000023","VDIVCSA7","BEV System","VMWare Clients","Compute","Infrastructure","Server","14","42","161792","4009"
"K-00000002","vROPs","BEV System","VMWare Server","Client Computing","Workplace","Server","5","15","56320","3039"
"K-00005909","RZ1-ESX-42","Deep Security GI","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00005910","RZ1-ESX-43","Deep Security GI","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00002942","RZ2-ESX-42","Deep Security GI","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00002943","RZ2-ESX-43","Deep Security GI","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00005859","RZ2-ESX-25","Püler Christoph","","","","Server","0","0","0","0"
"K-00005858","RZ2-ESX-24","Püler Christoph","","","","Server","0","0","0","0"
"K-00005867","RZ2-ESX-33","Püler Christoph","","","","Server","0","0","0","0"
"K-00005857","RZ2-ESX-22","Püler Christoph","","","","Server","0","0","0","0"
"K-00005856","RZ2-ESX-21","Püler Christoph","","","","Server","0","0","0","0"
"K-00005893","RZ1-ESX-26","Püler Christoph","","","","Server","0","0","0","0"
"K-00005892","RZ1-ESX-25","Püler Christoph","","","","Server","0","0","0","0"
"K-00005891","RZ1-ESX-24","Püler Christoph","","","","Server","0","0","0","0"
"K-00005890","RZ1-ESX-23","Püler Christoph","","","","Server","0","0","0","0"
"K-00005889","RZ1-ESX-22","Püler Christoph","","","","Server","0","0","0","0"
"K-00005888","RZ1-ESX-21","Püler Christoph","","","","Server","0","0","0","0"
"K-00005871","RZ2-ESX-37","Püler Christoph","","","","Server","0","0","0","0"
"K-00005903","RZ1-ESX-36","Püler Christoph","","","","Server","0","0","0","0"
"K-00005864","RZ2-ESX-30","Püler Christoph","","","","Server","0","0","0","0"
"K-00005870","RZ2-ESX-36","Püler Christoph","","","","Server","0","0","0","0"
"K-00005897","RZ1-ESX-30","Püler Christoph","","","","Server","0","0","0","0"
"K-00005902","RZ1-ESX-35","Püler Christoph","","","","Server","0","0","0","0"
"K-00005872","RZ2-ESX-38","Püler Christoph","","","","Server","0","0","0","0"
"K-00005860","RZ2-ESX-26","Püler Christoph","","","","Server","0","0","0","0"
"K-00005873","RZ2-ESX-39","Püler Christoph","","","","Server","0","0","0","0"
"K-00005874","RZ2-ESX-40","Püler Christoph","","","","Server","0","0","0","0"
"K-00005875","RZ2-ESX-41","Püler Christoph","","","","Server","0","0","0","0"
"K-00005878","RZ2-ESX-44","Püler Christoph","","","","Server","0","0","0","0"
"K-00005881","RZ2-ESX-48","Püler Christoph","","","","Server","0","0","0","0"
"K-00005882","RZ2-ESX-50","Püler Christoph","","","","Server","0","0","0","0"
"K-00005883","RZ2-ESX-51","Püler Christoph","","","","Server","0","0","0","0"
"K-00005884","RZ2-ESX-56","Püler Christoph","","","","Server","0","0","0","0"
"K-00005886","RZ1-ESX-59","Püler Christoph","","","","Server","0","0","0","0"
"K-00005887","RZ1-ESX-16","Püler Christoph","","","","Server","0","0","0","0"
"K-00005894","RZ1-ESX-27","Püler Christoph","","","","Server","0","0","0","0"
"K-00005898","RZ1-ESX-31","Püler Christoph","","","","Server","0","0","0","0"
"K-00005899","RZ1-ESX-32","Püler Christoph","","","","Server","0","0","0","0"
"K-00005904","RZ1-ESX-37","Püler Christoph","","","","Server","0","0","0","0"
"K-00005905","RZ1-ESX-38","Püler Christoph","","","","Server","0","0","0","0"
"K-00005906","RZ1-ESX-39","Püler Christoph","","","","Server","0","0","0","0"
"K-00005907","RZ1-ESX-40","Püler Christoph","","","","Server","0","0","0","0"
"K-00005912","RZ1-ESX-46","Püler Christoph","","","","Server","0","0","0","0"
"K-00005913","RZ1-ESX-47","Püler Christoph","","","","Server","0","0","0","0"
"K-00005914","RZ1-ESX-48","Püler Christoph","","","","Server","0","0","0","0"
"K-00005915","RZ1-ESX-56","Püler Christoph","","","","Server","0","0","0","0"
"K-00005916","RZ1-ESX-51","Püler Christoph","","","","Server","0","0","0","0"
"K-00005866","RZ2-ESX-32","Püler Christoph","","","","Server","0","0","0","0"
"K-00005865","RZ2-ESX-31","Püler Christoph","","","","Server","0","0","0","0"
"K-00005862","RZ2-ESX-28","Püler Christoph","","","","Server","0","0","0","0"
"K-00005861","RZ2-ESX-27","Püler Christoph","","","","Server","0","0","0","0"
"K-00005880","RZ2-ESX-47","Püler Christoph","","","","Server","0","0","0","0"
"K-00005911","RZ1-ESX-44","Püler Christoph","","","","Server","0","0","0","0"
"K-00005917","RZ1-ESX-57","Püler Christoph","","","","Server","0","0","0","0"
"K-00005918","","Püler Christoph","","","","Server","0","0","0","0"
"K-00005919","RZ1-ESX-59","Püler Christoph","","","","Server","0","0","0","0"
"K-00005920","RZ1-ESX-52","Püler Christoph","","","","Server","0","0","0","0"
"K-00005921","RZ1-ESX-50","Püler Christoph","","","","Server","0","0","0","0"
"K-00005879","RZ2-ESX-46","Püler Christoph","","","","Server","0","0","0","0"
"K-00005908","RZ1-ESX-41","Püler Christoph","","","","Server","0","0","0","0"
"K-00005869","RZ2-ESX-35","Püler Christoph","","","","Server","0","0","0","0"
"K-00005901","RZ1-ESX-34","Püler Christoph","","","","Server","0","0","0","0"
"K-00005868","RZ2-ESX-34","Püler Christoph","","","","Server","0","0","0","0"
"K-00005900","RZ1-ESX-33","Püler Christoph","","","","Server","0","0","0","0"
"K-00000020","vvcctx-01","BEV System","CITRIX","Client Computing","Workplace","Server","0","0","0","0"
"K-00002958","NSX","","","","","Server","0","0","0","0"
"K-00002864","BTUESPPRO-01","BEV System","EnterpriseServicePortal (ESP)","Application","Platform","Server","12","30","253952","1966"
"K-00002866","BTUESPVMW-01","BEV System","EnterpriseServicePortal (ESP)","Application","Platform","Server","12","30","253952","1966"
"K-00002905","ESPVMW-01","BEV System","EnterpriseServicePortal (ESP)","Application","Platform","Server","12","30","253952","1966"
"K-00002903","ESPPRO-01","BEV System","EnterpriseServicePortal (ESP)","Application","Platform","Server","12","30","253952","1966"
"K-00000434","RZV-FTP-02","TSK-00059587 Sezka","","","","Server","0","0","0","0"
"K-00000857","00-E0-C5-20-A4-06","Makovich Daniela","","","","Thin Client","0","0","0","0"
"K-00000880","00-E0-C5-20-A4-73","Sprenger Thomas","","","","Thin Client","0","0","0","0"
"K-00001041","00-E0-C5-20-A8-97","Hammerschmidt Anna","","","","Thin Client","0","0","0","0"
"00-E0-C5-3F-F0-7F","","Lager Präs/3 Präs/5","","","","Thin Client","0","0","0","0"
"00-E0-C5-3F-F9-74","","Lager Präs/3 Präs/5","","","","Thin Client","0","0","0","0"
"K-00001000","00-E0-C5-20-A7-F0","Lager Präs/3 Präs/5","","","","Thin Client","0","0","0","0"
"K-00001283","00-E0-C5-20-B0-B7","Zeizinger Clemens","","","","Thin Client","0","0","0","0"
"K-00001340","00-E0-C5-20-B3-07","Neustifter Johannes","","","","Thin Client","0","0","0","0"
"K-00001328","00-E0-C5-20-B2-CB","Lager Präs/3 Präs/5","","","","Thin Client","0","0","0","0"
"K-00001059","00-E0-C5-20-A9-2B","Schütz Susanne","","","","Thin Client","0","0","0","0"
"K-00000854","00-E0-C5-20-A3-F5","Staudigl Josef","","","","Thin Client","0","0","0","0"
"K-00001204","00-E0-C5-20-AC-46","Edelsbacher Richard","","","","Thin Client","0","0","0","0"
"K-00001273","00-E0-C5-20-B0-4C","Scheucher Dominik","","","","Thin Client","0","0","0","0"
"K-00001275","00-E0-C5-20-B0-58","Kondert Claudia","","","","Thin Client","0","0","0","0"
"K-00001150","00-E0-C5-20-AB-82","Lang Adrian","","","","Thin Client","0","0","0","0"
"K-00000909","00-E0-C5-20-A5-75","Hoefer Albert","","","","Thin Client","0","0","0","0"
"K-00001268","00-E0-C5-20-AF-F8","Lager Präs/3 Präs/5","","","","Thin Client","0","0","0","0"
"K-00001140","00-E0-C5-20-AB-5A","Kurz Rudolf","","","","Thin Client","0","0","0","0"
"K-00001178","00-E0-C5-20-AD-1F","Rienesl Gerhard","","","","Thin Client","0","0","0","0"
"K-00001163","00-E0-C5-20-AC-21","Perl Markus","","","","Thin Client","0","0","0","0"
"K-00001223","00-E0-C5-20-AE-2A","Schützeneder Rudolf","","","","Thin Client","0","0","0","0"
