"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002502","BN-R90BEM2L","Wurzer Walter","","","","Laptop","0","0","0","0"
"K-00002504","W120-EA-B-N01","Bauer Martin","","","","Laptop","0","0","0","0"
"K-00002512","W300-EA-B-N16","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002521","W450-EA-B-N01","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002523","W450-EA-B-N03","Schulz Harald","","","","Laptop","0","0","0","0"
"K-00002535","W560-EA-B-N02","Pixner Herbert","","","","Laptop","0","0","0","0"
"K-00002545","W630-EA-B-N06","Sommer Herbert","","","","Laptop","0","0","0","0"
"W660-VA-B-N02","","","","","","Laptop","0","0","0","0"
"K-00002565","W810-EA-B-N01","Stock Daniel","","","","Laptop","0","0","0","0"
"W001-GA-B-N17","W001-GA-B-N17","","","","","Laptop","0","0","0","0"
"K-00002405","W001-V1-B-N37","Ullrich Christian","","","","Laptop","0","0","0","0"
"K-00002469","BN-R90BEM5G","Freisinger Michael","","","","Laptop","0","0","0","0"
"K-00002491","W010-EA-B-N01","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002493","W010-EA-B-N04","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002494","BN-R90BEM11","Eder Reinhard","","","","Laptop","0","0","0","0"
"W300-EA-B-N15","","","","","","Laptop","0","0","0","0"
"K-00002515","W300-EA-B-N20","Sitz Christian","","","","Laptop","0","0","0","0"
"K-00002526","W450-EA-B-N06","ex Idlhammer Johann","","","","Laptop","0","0","0","0"
"K-00002546","W630-EA-B-N08","","","","","Laptop","0","0","0","0"
"K-00002566","W810-EA-B-N02","Schnegg Christian","","","","Laptop","0","0","0","0"
"K-00002370","BN-R90BEM5T","Hartinger Thomas","","","","Laptop","0","0","0","0"
"K-00002403","W001-V1-B-N34","Stöckl Gerhard","","","","Laptop","0","0","0","0"
"K-00002574","W810-VA-B-N01","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002534","W560-EA-B-N01","Kofler Christian","","","","Laptop","0","0","0","0"
"K-00002420","W003-E1-B-N12","Mache Werner","","","","Laptop","0","0","0","0"
"W450-VA-B-N24","W450-VA-B-N24","","","","","Laptop","0","0","0","0"
"K-00002511","W300-EA-B-N02","Tanczos Norbert","","","","Laptop","0","0","0","0"
"W070-VA-B-N09","","","","","","Laptop","0","0","0","0"
"K-00002687","W001-I3-B-N08","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002392","BN-R90BEM4D","Haussteiner Karl","","","","Laptop","0","0","0","0"
"K-00002422","BN-R90BEM4Z","Niessner Anton","","","","Laptop","0","0","0","0"
"K-00002406","W001-V1-M-N42","Berhart Günter","","","","Laptop","0","0","0","0"
"K-00002390","W001-I3-T-N01","Baumann Karl","","","","Laptop","0","0","0","0"
